name,team,age,position,height,weight,last_attended,country,experience,ppg,rpg,apg,pie,birth_year,draft_year,draft_pick,age_drafted,bmi
"Robert Franks","Orlando Magic",24,Forward,2.01,102,"Washington State",USA,0,4.4,1.8,0.6,6.3,1996,2019,,24,25.246899829212154
"Tim Frazier","Memphis Grizzlies",30,Guard,1.83,77,"Penn State",USA,6,1.3,1.3,2.3,3.1,1990,Undrafted,Undrafted,24,22.99262444384723
"Markelle Fultz","Orlando Magic",22,Guard,1.91,95,Washington,USA,3,12.9,3.1,5.4,8.1,1998,2017,1,19,26.040952824758094
"Wenyen Gabriel","New Orleans Pelicans",24,Forward,2.06,93,Kentucky,"South Sudan",1,1.4,1.8,0.6,4.3,1997,Undrafted,Undrafted,23,21.91535488735979
"Daniel Gafford","Washington Wizards",22,Forward-Center,2.08,106,Arkansas,USA,1,6.4,4,0.5,12.2,1998,2019,38,21,24.500739644970412
"Danilo Gallinari","Atlanta Hawks",32,Forward,2.08,106,"Olimpia Milano",Italy,11,13.4,4.1,1.4,11,1988,2008,6,21,24.500739644970412
"Langston Galloway","Phoenix Suns",29,Guard,1.85,91,"St. Joseph's (PA)",USA,6,4.7,1,0.7,8.2,1991,Undrafted,Undrafted,23,26.588750913075234
"Darius Garland","Cleveland Cavaliers",21,Guard,1.85,87,Vanderbilt,USA,1,17.4,2.4,6,9.8,2000,2019,5,20,25.420014609203797
"Marc Gasol","Los Angeles Lakers",36,Center,2.11,116,"FC Barcelona",Spain,12,5.4,4,2.1,7.9,1985,2007,48,24,26.05512005570405
"Rudy Gay","San Antonio Spurs",34,Forward-Guard,2.03,113,Connecticut,USA,14,11,4.9,1.5,10.5,1986,2006,8,20,27.421194399281717
"Paul George","LA Clippers",30,Forward,2.03,100,"Fresno State",USA,10,23.8,6.4,5.4,15.1,1990,2010,10,20,24.26654371617851
"Taj Gibson","New York Knicks",35,Forward,2.06,105,"Southern California",USA,11,5,5.5,0.7,9.2,1985,2009,26,24,24.74314261476105
