id,name,player_link,team,team_link,age,number,position,height,weight,last_attended,country,birth_date,experience,draft
75,"Jalen Brunson",https://www.nba.com/player/1628973/jalen-brunson/,"Dallas Mavericks ",https://www.nba.com/team/1610612742/mavericks/,24,"13 ",Guard,2,86,Villanova,USA,1996-08-31,2,"2018 R2 Pick 33"
76,"Thomas Bryant",https://www.nba.com/player/1628418/thomas-bryant/,"Washington Wizards ",https://www.nba.com/team/1610612764/wizards/,23,"13 ",Center-Forward,2,112,Indiana,USA,1997-07-31,3,"2017 R2 Pick 42"
77,"Reggie Bullock",https://www.nba.com/player/203493/reggie-bullock/,"New York Knicks ",https://www.nba.com/team/1610612752/knicks/,30,"25 ",Guard-Forward,2,93,"North Carolina",USA,1991-03-16,7,"2013 R1 Pick 25"
78,"Trey Burke",https://www.nba.com/player/203504/trey-burke/,"Dallas Mavericks ",https://www.nba.com/team/1610612742/mavericks/,28,"3 ",Guard,2,84,Michigan,USA,1992-11-12,7,"2013 R1 Pick 9"
79,"Alec Burks",https://www.nba.com/player/202692/alec-burks/,"New York Knicks ",https://www.nba.com/team/1610612752/knicks/,29,"18 ",Guard,2,97,Colorado,USA,1991-07-20,9,"2011 R1 Pick 12"
80,"Jimmy Butler",https://www.nba.com/player/202710/jimmy-butler/,"Miami Heat ",https://www.nba.com/team/1610612748/heat/,31,"22 ",Forward,2,104,Marquette,USA,1989-09-14,9,"2011 R1 Pick 30"
81,"Bruno Caboclo",https://www.nba.com/player/203998/bruno-caboclo/,NULL,NULL,25,NULL,Foward,2,99,Pinheiros,Brazil,1995-09-21,6,"2014 R1 Pick 20"
82,"Devontae Cacok",https://www.nba.com/player/1629719/devontae-cacok/,"Los Angeles Lakers ",https://www.nba.com/team/1610612747/lakers/,24,"12 ",Forward,2,109,"North Carolina-Wilmington",USA,1996-10-08,1,Undrafted
83,"Kentavious Caldwell-Pope",https://www.nba.com/player/203484/kentavious-caldwell-pope/,"Los Angeles Lakers ",https://www.nba.com/team/1610612747/lakers/,28,"1 ",Guard,2,93,Georgia,USA,1993-02-18,7,"2013 R1 Pick 8"
84,"Facundo Campazzo",https://www.nba.com/player/1630267/facundo-campazzo/,"Denver Nuggets ",https://www.nba.com/team/1610612743/nuggets/,30,"7 ",Guard,2,88,Murcia,Argentina,1991-03-23,Rookie,Undrafted
85,"Vlatko Cancar",https://www.nba.com/player/1628427/vlatko-cancar/,"Denver Nuggets ",https://www.nba.com/team/1610612743/nuggets/,23,"31 ",Forward,2,107,"San Pablo Burgos",Slovenia,1997-04-10,1,"2017 R2 Pick 49"
86,"Clint Capela",https://www.nba.com/player/203991/clint-capela/,"Atlanta Hawks ",https://www.nba.com/team/1610612737/hawks/,26,"15 ",Center,2,109,"Elan Chalon",Switzerland,1994-05-18,6,"2014 R1 Pick 25"
87,"Vernon Carey Jr.",https://www.nba.com/player/1630176/vernon-carey-jr/,"Charlotte Hornets ",https://www.nba.com/team/1610612766/hornets/,20,"22 ",Forward-Center,2,122,Duke,USA,2001-02-25,Rookie,"2020 R2 Pick 32"
88,"Jevon Carter",https://www.nba.com/player/1628975/jevon-carter/,"Phoenix Suns ",https://www.nba.com/team/1610612756/suns/,25,"4 ",Guard,2,91,"West Virginia",USA,1995-09-14,2,"2018 R2 Pick 32"
89,"Wendell Carter Jr.",https://www.nba.com/player/1628976/wendell-carter-jr/,"Orlando Magic ",https://www.nba.com/team/1610612753/magic/,21,"34 ",Center-Forward,2,122,Duke,USA,1999-04-16,2,"2018 R1 Pick 7"
90,"Michael Carter-Williams",https://www.nba.com/player/203487/michael-carter-williams/,"Orlando Magic ",https://www.nba.com/team/1610612753/magic/,29,"7 ",Guard,2,86,Syracuse,USA,1991-10-10,7,"2013 R1 Pick 11"
91,"Alex Caruso",https://www.nba.com/player/1627936/alex-caruso/,"Los Angeles Lakers ",https://www.nba.com/team/1610612747/lakers/,27,"4 ",Guard,2,84,"Texas A&M",USA,1994-02-28,3,Undrafted
92,"Willie Cauley-Stein",https://www.nba.com/player/1626161/willie-cauley-stein/,"Dallas Mavericks ",https://www.nba.com/team/1610612742/mavericks/,27,"33 ",Center,2,109,Kentucky,USA,1993-08-18,5,"2015 R1 Pick 6"
93,"Chris Chiozza",https://www.nba.com/player/1629185/chris-chiozza/,"Brooklyn Nets ",https://www.nba.com/team/1610612751/nets/,25,"4 ",Guard,2,79,Florida,USA,1995-11-21,2,Undrafted
94,"Marquese Chriss",https://www.nba.com/player/1627737/marquese-chriss/,NULL,NULL,23,NULL,Foward,2,109,Washington,USA,1997-07-02,4,"2016 R1 Pick 8"
95,"Gary Clark",https://www.nba.com/player/1629109/gary-clark/,"Denver Nuggets ",https://www.nba.com/team/1610612743/nuggets/,26,"12 ",Forward,2,102,Cincinnati,USA,1994-11-16,2,Undrafted
96,"Brandon Clarke",https://www.nba.com/player/1629634/brandon-clarke/,"Memphis Grizzlies ",https://www.nba.com/team/1610612763/grizzlies/,24,"15 ",Forward,2,98,Gonzaga,Canada,1996-09-19,1,"2019 R1 Pick 21"
97,"Jordan Clarkson",https://www.nba.com/player/203903/jordan-clarkson/,"Utah Jazz ",https://www.nba.com/team/1610612762/jazz/,28,"00 ",Guard,2,88,Missouri,USA,1992-06-07,6,"2014 R2 Pick 46"
